key_locality_sub_;Étiquettes de lignes;locality;Min. de prix_m2_2;Moyenne de prix_m2;Max. de prix_m2;
DUPLEX-TRIPLEXCharleroi;DUPLEX-TRIPLEX;Charleroi;1055;2259;3660;
EXCEPTIONAL_PROPERTYCharleroi;EXCEPTIONAL_PROPERTY;Charleroi;400;2041;8250;
FLAT_STUDIOCharleroi;FLAT_STUDIO;Charleroi;1717;3298;4323;
GROUND_FLOORCharleroi;GROUND_FLOOR;Charleroi;692;2059;2887;
HOUSECharleroi;HOUSE;Charleroi;410;1344;3656;
LOFTCharleroi;LOFT;Charleroi;1681;1681;1681;
MANSIONCharleroi;MANSION;Charleroi;525;1192;2477;
MIXED_USE_BUILDINGCharleroi;MIXED_USE_BUILDING;Charleroi;455;1170;3833;
PENTHOUSECharleroi;PENTHOUSE;Charleroi;1619;2317;2917;
TOWN_HOUSECharleroi;TOWN_HOUSE;Charleroi;758;1352;2390;
VILLACharleroi;VILLA;Charleroi;761;2039;5507;
APARTMENTDendermonde;APARTMENT;Dendermonde;901;3126;15306;
APARTMENT_BLOCKDendermonde;APARTMENT_BLOCK;Dendermonde;1023;1905;2949;
DUPLEX-TRIPLEXDendermonde;DUPLEX-TRIPLEX;Dendermonde;1887;2745;3688;
EXCEPTIONAL_PROPERTYDendermonde;EXCEPTIONAL_PROPERTY;Dendermonde;1675;2114;2821;
FLAT_STUDIODendermonde;FLAT_STUDIO;Dendermonde;1857;1857;1857;
GROUND_FLOORDendermonde;GROUND_FLOOR;Dendermonde;1638;3448;6557;
HOUSEDendermonde;HOUSE;Dendermonde;584;2307;9497;
MANSIONDendermonde;MANSION;Dendermonde;1077;1680;2868;
MIXED_USE_BUILDINGDendermonde;MIXED_USE_BUILDING;Dendermonde;727;1688;4809;
PENTHOUSEDendermonde;PENTHOUSE;Dendermonde;1838;3553;4852;
SERVICE_FLATDendermonde;SERVICE_FLAT;Dendermonde;3866;4619;5280;
TOWN_HOUSEDendermonde;TOWN_HOUSE;Dendermonde;980;1345;2000;
VILLADendermonde;VILLA;Dendermonde;929;2481;4781;
APARTMENTDiksmuide;APARTMENT;Diksmuide;1339;2787;4038;
APARTMENT_BLOCKDiksmuide;APARTMENT_BLOCK;Diksmuide;1354;1354;1354;
EXCEPTIONAL_PROPERTYDiksmuide;EXCEPTIONAL_PROPERTY;Diksmuide;2740;2740;2740;
GROUND_FLOORDiksmuide;GROUND_FLOOR;Diksmuide;1618;2524;2868;
HOUSEDiksmuide;HOUSE;Diksmuide;534;2023;4380;
MANSIONDiksmuide;MANSION;Diksmuide;3300;3300;3300;
MIXED_USE_BUILDINGDiksmuide;MIXED_USE_BUILDING;Diksmuide;645;645;645;
PENTHOUSEDiksmuide;PENTHOUSE;Diksmuide;1339;2403;3467;
VILLADiksmuide;VILLA;Diksmuide;1312;2236;2985;
APARTMENTDinant;APARTMENT;Dinant;427;2769;4452;
APARTMENT_BLOCKDinant;APARTMENT_BLOCK;Dinant;427;1218;1997;
DUPLEX-TRIPLEXDinant;DUPLEX-TRIPLEX;Dinant;1619;2048;2457;
EXCEPTIONAL_PROPERTYDinant;EXCEPTIONAL_PROPERTY;Dinant;841;1747;3167;
FLAT_STUDIODinant;FLAT_STUDIO;Dinant;2498;2664;2829;
GROUND_FLOORDinant;GROUND_FLOOR;Dinant;1792;2406;2872;
HOUSEDinant;HOUSE;Dinant;445;1705;4439;
MANSIONDinant;MANSION;Dinant;783;1336;1890;
MIXED_USE_BUILDINGDinant;MIXED_USE_BUILDING;Dinant;467;1136;2534;
PENTHOUSEDinant;PENTHOUSE;Dinant;2370;2370;2370;
TOWN_HOUSEDinant;TOWN_HOUSE;Dinant;1100;1202;1305;
VILLADinant;VILLA;Dinant;682;1975;4439;
APARTMENTGent;APARTMENT;Gent;1300;3966;15909;
APARTMENT_BLOCKGent;APARTMENT_BLOCK;Gent;1500;3269;6612;
DUPLEX-TRIPLEXGent;DUPLEX-TRIPLEX;Gent;1552;3724;9407;
EXCEPTIONAL_PROPERTYGent;EXCEPTIONAL_PROPERTY;Gent;1054;3632;8506;
FLAT_STUDIOGent;FLAT_STUDIO;Gent;2927;5379;9476;
GROUND_FLOORGent;GROUND_FLOOR;Gent;1382;3620;7036;
HOUSEGent;HOUSE;Gent;472;2654;10984;
LOFTGent;LOFT;Gent;2944;5155;8709;
MANSIONGent;MANSION;Gent;1021;3004;5669;
MIXED_USE_BUILDINGGent;MIXED_USE_BUILDING;Gent;937;2330;6707;
PENTHOUSEGent;PENTHOUSE;Gent;1149;4622;8959;
SERVICE_FLATGent;SERVICE_FLAT;Gent;1259;3371;5123;
TOWN_HOUSEGent;TOWN_HOUSE;Gent;1306;2624;3718;
VILLAGent;VILLA;Gent;1432;3016;8849;
APARTMENTHalle-Vilvoorde;APARTMENT;Halle-Vilvoorde;1121;3339;8939;
APARTMENT_BLOCKHalle-Vilvoorde;APARTMENT_BLOCK;Halle-Vilvoorde;1060;2490;6829;
DUPLEX-TRIPLEXHalle-Vilvoorde;DUPLEX-TRIPLEX;Halle-Vilvoorde;1613;2965;4630;
EXCEPTIONAL_PROPERTYHalle-Vilvoorde;EXCEPTIONAL_PROPERTY;Halle-Vilvoorde;1012;2970;6250;
FLAT_STUDIOHalle-Vilvoorde;FLAT_STUDIO;Halle-Vilvoorde;1422;3965;6829;
