key_locality_sub_;Étiquettes de lignes;locality;Min. de prix_m2_2;Moyenne de prix_m2;Max. de prix_m2;
EXCEPTIONAL_PROPERTYOudenaarde;EXCEPTIONAL_PROPERTY;Oudenaarde;1055;1642;2024;
GROUND_FLOOROudenaarde;GROUND_FLOOR;Oudenaarde;2631;3141;3462;
HOUSEOudenaarde;HOUSE;Oudenaarde;475;2030;5331;
LOFTOudenaarde;LOFT;Oudenaarde;827;1614;2026;
MANSIONOudenaarde;MANSION;Oudenaarde;940;1460;2271;
MIXED_USE_BUILDINGOudenaarde;MIXED_USE_BUILDING;Oudenaarde;548;1501;3266;
PENTHOUSEOudenaarde;PENTHOUSE;Oudenaarde;2329;3129;3622;
SERVICE_FLATOudenaarde;SERVICE_FLAT;Oudenaarde;3362;3810;4231;
VILLAOudenaarde;VILLA;Oudenaarde;684;2458;4466;
APARTMENTSint-Niklaas;APARTMENT;Sint-Niklaas;1076;3165;6938;
APARTMENT_BLOCKSint-Niklaas;APARTMENT_BLOCK;Sint-Niklaas;1050;2133;3015;
DUPLEX-TRIPLEXSint-Niklaas;DUPLEX-TRIPLEX;Sint-Niklaas;1292;2512;4509;
EXCEPTIONAL_PROPERTYSint-Niklaas;EXCEPTIONAL_PROPERTY;Sint-Niklaas;1677;2030;2485;
FLAT_STUDIOSint-Niklaas;FLAT_STUDIO;Sint-Niklaas;1163;2027;2891;
GROUND_FLOORSint-Niklaas;GROUND_FLOOR;Sint-Niklaas;1828;2962;4167;
HOUSESint-Niklaas;HOUSE;Sint-Niklaas;564;2251;10359;
LOFTSint-Niklaas;LOFT;Sint-Niklaas;3364;3364;3364;
MANSIONSint-Niklaas;MANSION;Sint-Niklaas;851;1720;2404;
MIXED_USE_BUILDINGSint-Niklaas;MIXED_USE_BUILDING;Sint-Niklaas;440;1900;4864;
PENTHOUSESint-Niklaas;PENTHOUSE;Sint-Niklaas;2246;4197;6296;
SERVICE_FLATSint-Niklaas;SERVICE_FLAT;Sint-Niklaas;1803;3493;4663;
TOWN_HOUSESint-Niklaas;TOWN_HOUSE;Sint-Niklaas;1272;1667;2493;
VILLASint-Niklaas;VILLA;Sint-Niklaas;1742;2970;6988;
APARTMENTSoignies;APARTMENT;Soignies;421;2446;3625;
APARTMENT_BLOCKSoignies;APARTMENT_BLOCK;Soignies;416;1256;2837;
DUPLEX-TRIPLEXSoignies;DUPLEX-TRIPLEX;Soignies;979;1710;2537;
EXCEPTIONAL_PROPERTYSoignies;EXCEPTIONAL_PROPERTY;Soignies;1071;2005;3044;
FLAT_STUDIOSoignies;FLAT_STUDIO;Soignies;2684;3631;5556;
GROUND_FLOORSoignies;GROUND_FLOOR;Soignies;1538;2339;2778;
HOUSESoignies;HOUSE;Soignies;421;1746;4874;
MANSIONSoignies;MANSION;Soignies;961;1527;2333;
MIXED_USE_BUILDINGSoignies;MIXED_USE_BUILDING;Soignies;495;1295;3125;
PENTHOUSESoignies;PENTHOUSE;Soignies;1444;2407;2745;
TOWN_HOUSESoignies;TOWN_HOUSE;Soignies;500;1195;2178;
VILLASoignies;VILLA;Soignies;932;2160;3818;
APARTMENTThuin;APARTMENT;Thuin;928;2408;3302;
APARTMENT_BLOCKThuin;APARTMENT_BLOCK;Thuin;500;1158;4513;
DUPLEX-TRIPLEXThuin;DUPLEX-TRIPLEX;Thuin;890;1137;1385;
EXCEPTIONAL_PROPERTYThuin;EXCEPTIONAL_PROPERTY;Thuin;767;1403;2485;
GROUND_FLOORThuin;GROUND_FLOOR;Thuin;967;2098;2530;
HOUSEThuin;HOUSE;Thuin;425;1418;3228;
LOFTThuin;LOFT;Thuin;887;887;887;
MANSIONThuin;MANSION;Thuin;613;943;1520;
MIXED_USE_BUILDINGThuin;MIXED_USE_BUILDING;Thuin;551;1061;2188;
PENTHOUSEThuin;PENTHOUSE;Thuin;1686;2532;2917;
TOWN_HOUSEThuin;TOWN_HOUSE;Thuin;636;1170;1777;
VILLAThuin;VILLA;Thuin;625;1777;3182;
APARTMENTTongeren;APARTMENT;Tongeren;987;2911;4317;
APARTMENT_BLOCKTongeren;APARTMENT_BLOCK;Tongeren;1045;2338;3667;
DUPLEX-TRIPLEXTongeren;DUPLEX-TRIPLEX;Tongeren;1097;2015;2943;
EXCEPTIONAL_PROPERTYTongeren;EXCEPTIONAL_PROPERTY;Tongeren;615;2230;2995;
GROUND_FLOORTongeren;GROUND_FLOOR;Tongeren;1367;2933;3900;
HOUSETongeren;HOUSE;Tongeren;493;1793;4368;
LOFTTongeren;LOFT;Tongeren;2781;2996;3211;
MANSIONTongeren;MANSION;Tongeren;1214;1804;2571;
MIXED_USE_BUILDINGTongeren;MIXED_USE_BUILDING;Tongeren;776;1961;3811;
PENTHOUSETongeren;PENTHOUSE;Tongeren;2441;3164;3791;
SERVICE_FLATTongeren;SERVICE_FLAT;Tongeren;3950;3950;3950;
TOWN_HOUSETongeren;TOWN_HOUSE;Tongeren;1846;1846;1846;
VILLATongeren;VILLA;Tongeren;1112;2262;4573;
APARTMENTTournai;APARTMENT;Tournai;710;2598;5041;
APARTMENT_BLOCKTournai;APARTMENT_BLOCK;Tournai;550;1381;4457;
DUPLEX-TRIPLEXTournai;DUPLEX-TRIPLEX;Tournai;563;2186;3462;
EXCEPTIONAL_PROPERTYTournai;EXCEPTIONAL_PROPERTY;Tournai;854;1996;3151;
FLAT_STUDIOTournai;FLAT_STUDIO;Tournai;1902;2816;3905;
GROUND_FLOORTournai;GROUND_FLOOR;Tournai;1569;2725;3085;
HOUSETournai;HOUSE;Tournai;417;1840;5598;
KOTTournai;KOT;Tournai;3981;4095;4231;
MANSIONTournai;MANSION;Tournai;847;1533;2900;
MIXED_USE_BUILDINGTournai;MIXED_USE_BUILDING;Tournai;483;1672;4450;
PENTHOUSETournai;PENTHOUSE;Tournai;1424;3029;4663;
TOWN_HOUSETournai;TOWN_HOUSE;Tournai;847;1170;1385;
VILLATournai;VILLA;Tournai;909;2176;4738;
APARTMENTTurnhout;APARTMENT;Turnhout;728;2931;5698;
APARTMENT_BLOCKTurnhout;APARTMENT_BLOCK;Turnhout;902;2308;11471;
DUPLEX-TRIPLEXTurnhout;DUPLEX-TRIPLEX;Turnhout;1377;2484;3664;
EXCEPTIONAL_PROPERTYTurnhout;EXCEPTIONAL_PROPERTY;Turnhout;1656;2353;2931;
FLAT_STUDIOTurnhout;FLAT_STUDIO;Turnhout;3312;4027;5357;
GROUND_FLOORTurnhout;GROUND_FLOOR;Turnhout;1611;3052;4643;
HOUSETurnhout;HOUSE;Turnhout;448;2082;5245;
LOFTTurnhout;LOFT;Turnhout;1625;3112;5061;
MANSIONTurnhout;MANSION;Turnhout;1008;1871;4261;
MIXED_USE_BUILDINGTurnhout;MIXED_USE_BUILDING;Turnhout;592;1844;3693;
PENTHOUSETurnhout;PENTHOUSE;Turnhout;2041;3359;5376;
SERVICE_FLATTurnhout;SERVICE_FLAT;Turnhout;2169;3573;5245;
TOWN_HOUSETurnhout;TOWN_HOUSE;Turnhout;1026;2023;3192;
VILLATurnhout;VILLA;Turnhout;414;2412;6211;
APARTMENTVerviers;APARTMENT;Verviers;832;2860;5156;
APARTMENT_BLOCKVerviers;APARTMENT_BLOCK;Verviers;402;1342;4988;
DUPLEX-TRIPLEXVerviers;DUPLEX-TRIPLEX;Verviers;429;1932;3968;
EXCEPTIONAL_PROPERTYVerviers;EXCEPTIONAL_PROPERTY;Verviers;550;2119;4730;
FLAT_STUDIOVerviers;FLAT_STUDIO;Verviers;1925;2880;4118;
GROUND_FLOORVerviers;GROUND_FLOOR;Verviers;1013;2601;4575;
HOUSEVerviers;HOUSE;Verviers;413;1866;4448;
LOFTVerviers;LOFT;Verviers;591;1285;2394;
MANSIONVerviers;MANSION;Verviers;615;1318;1929;
MIXED_USE_BUILDINGVerviers;MIXED_USE_BUILDING;Verviers;414;1258;2708;
PENTHOUSEVerviers;PENTHOUSE;Verviers;2229;3258;5138;
TOWN_HOUSEVerviers;TOWN_HOUSE;Verviers;1163;1820;2346;
VILLAVerviers;VILLA;Verviers;1489;2378;3978;
APARTMENTVeurne;APARTMENT;Veurne;1123;4551;13409;
APARTMENT_BLOCKVeurne;APARTMENT_BLOCK;Veurne;1387;2989;5863;
DUPLEX-TRIPLEXVeurne;DUPLEX-TRIPLEX;Veurne;1860;4012;6486;
EXCEPTIONAL_PROPERTYVeurne;EXCEPTIONAL_PROPERTY;Veurne;1029;1712;2395;
FLAT_STUDIOVeurne;FLAT_STUDIO;Veurne;2576;4698;8735;
GROUND_FLOORVeurne;GROUND_FLOOR;Veurne;1309;3625;12935;
HOUSEVeurne;HOUSE;Veurne;405;2610;5745;
MANSIONVeurne;MANSION;Veurne;2393;2393;2393;
MIXED_USE_BUILDINGVeurne;MIXED_USE_BUILDING;Veurne;1279;3119;6490;
PENTHOUSEVeurne;PENTHOUSE;Veurne;3647;6613;13681;
SERVICE_FLATVeurne;SERVICE_FLAT;Veurne;2944;4656;5824;
TOWN_HOUSEVeurne;TOWN_HOUSE;Veurne;1535;1906;2276;
VILLAVeurne;VILLA;Veurne;1257;3492;9741;
APARTMENTVirton;APARTMENT;Virton;508;2764;4123;
APARTMENT_BLOCKVirton;APARTMENT_BLOCK;Virton;889;1361;1830;
DUPLEX-TRIPLEXVirton;DUPLEX-TRIPLEX;Virton;2080;2083;2087;
EXCEPTIONAL_PROPERTYVirton;EXCEPTIONAL_PROPERTY;Virton;702;2455;3636;
FLAT_STUDIOVirton;FLAT_STUDIO;Virton;2282;2282;2282;
GROUND_FLOORVirton;GROUND_FLOOR;Virton;2850;3050;3150;
HOUSEVirton;HOUSE;Virton;478;1778;3292;
MANSIONVirton;MANSION;Virton;1006;1006;1006;
MIXED_USE_BUILDINGVirton;MIXED_USE_BUILDING;Virton;417;1417;1897;
PENTHOUSEVirton;PENTHOUSE;Virton;2509;3071;3420;
TOWN_HOUSEVirton;TOWN_HOUSE;Virton;1667;1948;2230;
VILLAVirton;VILLA;Virton;1608;2332;3431;
APARTMENTWaremme;APARTMENT;Waremme;611;2644;4000;
APARTMENT_BLOCKWaremme;APARTMENT_BLOCK;Waremme;1761;2305;2909;
DUPLEX-TRIPLEXWaremme;DUPLEX-TRIPLEX;Waremme;1617;2422;2917;
EXCEPTIONAL_PROPERTYWaremme;EXCEPTIONAL_PROPERTY;Waremme;957;2573;3662;
GROUND_FLOORWaremme;GROUND_FLOOR;Waremme;1941;2529;2784;
HOUSEWaremme;HOUSE;Waremme;470;1864;5247;
LOFTWaremme;LOFT;Waremme;1667;1667;1667;
MANSIONWaremme;MANSION;Waremme;1166;1438;1708;
MIXED_USE_BUILDINGWaremme;MIXED_USE_BUILDING;Waremme;784;1541;2404;
PENTHOUSEWaremme;PENTHOUSE;Waremme;1916;2825;3260;
TOWN_HOUSEWaremme;TOWN_HOUSE;Waremme;2105;2242;2379;
VILLAWaremme;VILLA;Waremme;1338;2048;2933;
Brussels-Capital;Brussels-Capital;;468;3782;19091;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
